,Area
0,2.6441001892089844
1,2.6441001892089844
2,2.6441001892089844
3,2.4219703674316406
4,2.342061996459961
5,2.342061996459961
6,2.342061996459961
7,2.342061996459961
8,2.352447509765625
9,2.3551082611083984
10,2.4005126953125
11,2.481107711791992
12,2.6026439666748047
13,2.6369762420654297
14,2.6369762420654297
15,2.6369762420654297
16,2.6369762420654297
17,2.446517944335937
18,2.373476028442383
19,2.212371826171875
20,1.968183517456055
21,1.783647537231445
22,1.6968727111816406
23,1.630268096923828
24,1.630268096923828
25,1.630268096923828
26,1.630268096923828
27,1.8126583099365237
28,1.8126583099365237
29,1.8126583099365237
30,1.8126583099365237
31,1.6338729858398438
32,1.5024662017822266
33,1.4381790161132812
34,1.437578201293945
35,1.4066791534423828
36,1.4052200317382812
37,1.393117904663086
38,1.393117904663086
39,1.393117904663086
40,1.393117904663086
41,1.413116455078125
42,1.446247100830078
43,1.4781761169433594
44,1.4987754821777344
45,1.5093326568603516
46,1.509847640991211
47,1.509847640991211
48,1.509847640991211
49,1.5093326568603516
50,1.4807510375976562
51,1.4579200744628906
52,1.454143524169922
53,1.4401531219482422
54,1.4226436614990234
55,1.405134201049805
56,1.3851356506347656
57,1.3851356506347656
58,1.3851356506347656
59,1.3851356506347656
60,1.4275360107421875
61,1.4911365509033203
62,1.5678691864013672
63,1.6860580444335938
64,2.012300491333008
65,2.080535888671875
66,2.080535888671875
67,2.080535888671875
68,2.012300491333008
69,1.8560028076171875
70,1.767597198486328
71,1.7265701293945312
72,1.7265701293945312
73,1.7265701293945312
74,1.7265701293945312
75,1.7536067962646484
76,1.7801284790039062
77,1.839437484741211
78,1.902780532836914
79,1.976423263549805
80,2.0382213592529297
81,2.079591751098633
82,2.1573543548583984
83,2.259063720703125
84,2.422914505004883
85,2.623329162597656
86,2.8577327728271484
87,3.0972862243652344
88,3.308086395263672
89,3.493480682373047
90,3.635444641113281
91,3.731145858764648
92,3.814401626586914
93,3.814401626586914
94,3.814401626586914
95,3.814401626586914
96,3.7474536895751953
97,3.633384704589844
98,3.5243797302246094
99,3.463783264160156
100,3.4321117401123047
101,3.329458236694336
102,3.056516647338867
103,2.86494255065918
104,2.7628040313720703
105,2.6195526123046875
106,2.510204315185547
107,2.510204315185547
108,2.510204315185547
109,2.510204315185547
110,2.5646209716796875
111,2.635688781738281
112,2.719717025756836
113,2.848377227783203
114,2.969655990600586
115,3.0064773559570312
116,3.2104969024658203
117,3.535280227661133
118,3.5606861114501958
119,3.582143783569336
120,3.6859130859375
121,3.753805160522461
122,3.78230094909668
123,3.8127708435058594
124,3.881349563598633
125,4.034214019775391
126,4.180727005004883
127,4.36431884765625
128,4.580526351928711
129,4.773044586181641
130,4.9994659423828125
131,5.220222473144531
132,5.322103500366211
133,5.398664474487305
134,5.460720062255859
135,5.538225173950195
136,5.596933364868164
137,5.610837936401367
