,Area
0,4.418220520019531
1,4.418220520019531
2,4.418220520019531
3,4.414701461791992
4,4.414701461791992
5,4.414701461791992
6,4.414701461791992
7,4.414701461791992
8,4.414701461791992
9,4.444484710693359
10,4.457101821899414
11,4.459505081176758
12,4.761371612548828
13,5.04572868347168
14,5.213785171508789
15,5.313434600830078
16,5.380039215087891
17,5.426473617553711
18,5.426473617553711
19,5.426473617553711
20,5.426473617553711
21,5.349998474121094
22,5.289316177368164
23,5.260734558105469
24,5.256614685058594
25,5.233869552612305
26,4.910459518432617
27,4.499759674072266
28,4.019279479980469
29,3.617763519287109
30,3.215646743774414
31,3.028879165649414
32,2.921419143676758
33,2.82649040222168
34,2.824687957763672
35,2.824687957763672
36,2.824687957763672
37,2.824687957763672
38,2.8306102752685547
39,2.853870391845703
40,2.91189193725586
41,2.975406646728516
42,3.073339462280273
43,3.1500720977783203
44,3.246288299560547
45,3.34585189819336
46,3.479747772216797
47,3.678274154663086
48,3.9327621459960938
49,4.129657745361328
50,4.2208099365234375
51,4.272394180297852
52,4.3526458740234375
53,4.426546096801758
54,4.426546096801758
55,4.426546096801758
56,4.426546096801758
57,4.070777893066406
58,3.958597183227539
59,3.850536346435547
60,3.4945106506347656
61,3.4716796875
62,3.371429443359375
63,3.371429443359375
64,3.3559799194335938
65,3.1922149658203125
66,3.0560874938964844
67,3.0051040649414062
68,3.0051040649414062
69,3.0051040649414062
70,3.0051040649414062
71,3.144664764404297
72,3.2832813262939453
73,3.437347412109375
74,3.681020736694336
75,4.00975227355957
76,4.468860626220703
77,4.908056259155273
78,5.252666473388672
79,5.640449523925781
80,6.082134246826172
81,6.082134246826172
82,6.082134246826172
83,6.082134246826172
84,5.9731292724609375
85,5.9731292724609375
86,5.848932266235352
87,5.566720962524414
88,5.4938507080078125
89,3.132476806640625
90,2.377595901489258
91,2.316913604736328
92,2.112550735473633
93,2.088346481323242
94,2.0474910736083984
95,2.031440734863281
96,2.014446258544922
97,2.031440734863281
98,2.0474910736083984
99,2.0474910736083984
100,2.082338333129883
101,2.298460006713867
102,2.586336135864258
103,3.0414962768554688
104,3.7314891815185542
105,4.52387809753418
106,5.118684768676758
107,5.648345947265625
108,5.648345947265625
109,5.648345947265625
110,5.648345947265625
111,5.487499237060547
112,5.487499237060547
113,5.487499237060547
114,5.487499237060547
115,5.558223724365234
116,5.563716888427734
117,5.601396560668945
118,5.682334899902344
119,5.712804794311523
120,5.867300033569336
121,5.939826965332031
122,5.959138870239258
123,6.046514511108398
124,6.273193359375
125,6.441764831542969
126,6.576089859008789
127,6.720027923583984
128,6.810407638549805
129,6.897611618041992
130,6.959066390991211
131,7.004213333129883
132,7.066011428833008
133,7.088499069213867
134,7.143259048461914
135,7.169866561889648
136,7.172698974609375
137,7.174415588378906
138,7.174415588378906
139,7.172698974609375
140,7.169866561889648
141,7.079486846923828
142,6.969280242919922
143,6.843194961547852
144,6.66569709777832
145,6.624240875244141
146,6.331901550292969
147,6.331901550292969
148,6.331901550292969
149,6.331901550292969
150,7.892732620239258
151,8.536462783813477
152,8.536462783813477
153,8.536462783813477
154,8.536462783813477
155,7.857370376586914
156,7.373886108398437
157,7.011938095092773
158,6.774358749389648
159,6.738138198852539
160,6.738138198852539
161,6.738138198852539
162,6.713590621948242
163,6.713590621948242
164,6.713590621948242
165,6.600551605224609
166,5.897083282470703
167,5.481233596801758
168,5.190095901489258
169,4.972171783447266
170,4.834499359130859
171,4.82548713684082
172,4.761543273925781
173,4.641551971435547
174,4.516153335571289
175,4.516153335571289
176,4.516153335571289
177,4.516153335571289
178,4.612455368041992
179,4.879732131958008
180,5.288114547729492
181,5.772972106933594
182,6.025915145874023
183,6.10041618347168
184,6.11912727355957
185,6.133890151977539
186,6.133890151977539
187,6.13560676574707
188,6.253881454467773
189,6.335163116455078
190,6.395931243896484
191,6.490945816040039
192,6.597375869750977
193,6.727237701416016
194,6.7751312255859375
195,6.830406188964844
196,6.937179565429688
197,7.001209259033203
198,7.101459503173828
199,7.173042297363281
200,7.18780517578125
201,7.18780517578125
