,Area
0,6.002054214477539
1,6.002054214477539
2,5.993385314941406
3,5.980596542358398
4,5.950641632080078
5,5.835971832275391
6,5.694179534912109
7,5.514106750488281
8,4.382600784301758
9,3.3063697814941406
10,3.037805557250977
11,2.677831649780273
12,2.3464393615722656
13,2.0837974548339844
14,1.9075870513916016
15,1.7733478546142578
16,1.773176193237305
17,1.7663955688476562
18,1.7620182037353516
19,1.7427921295166016
20,1.7427921295166016
21,1.7427921295166016
22,1.6851139068603516
23,1.6297531127929688
24,1.6297531127929688
25,1.6297531127929688
26,1.6297531127929688
27,1.718158721923828
28,1.8271636962890625
29,1.9545364379882808
30,2.091865539550781
31,2.245416641235352
32,2.4681472778320312
33,2.746410369873047
34,3.1510162353515625
35,3.7677955627441406
36,4.277200698852539
37,4.559240341186523
38,4.9678802490234375
39,5.04796028137207
