,Area
0,8.081388473510742
1,8.081388473510742
2,8.05624008178711
3,8.051776885986328
4,7.938995361328125
5,7.821235656738281
6,7.695407867431641
7,7.597732543945312
8,7.576274871826172
9,7.46821403503418
10,7.335777282714844
11,7.140169143676758
12,7.122745513916016
13,7.03700065612793
14,6.971254348754883
15,6.834096908569336
16,6.712045669555664
17,6.535663604736328
18,6.315250396728516
19,6.141529083251953
20,6.141529083251953
21,6.141529083251953
22,6.141529083251953
23,6.27894401550293
24,6.378507614135742
25,6.502275466918945
26,7.240934371948242
27,7.240934371948242
28,7.240934371948242
29,7.240934371948242
30,6.85246467590332
31,6.575832366943359
32,6.336450576782227
33,6.257829666137695
34,6.176033020019531
35,6.139211654663086
36,6.139211654663086
37,6.139211654663086
38,6.139211654663086
39,6.232509613037109
40,6.284523010253906
41,6.316194534301758
42,6.333189010620117
43,6.39704704284668
44,6.39704704284668
45,6.39704704284668
46,6.39704704284668
47,6.390695571899414
48,6.379451751708984
49,6.368808746337891
50,6.367778778076172
51,6.321945190429688
52,6.2574005126953125
53,6.155261993408203
54,6.096982955932617
55,6.037588119506836
56,5.950813293457031
57,5.879573822021484
58,5.818805694580078
59,5.758037567138672
60,5.694522857666016
61,5.63298225402832
62,5.63298225402832
63,5.63298225402832
64,5.63298225402832
65,5.63298225402832
66,5.63298225402832
67,5.63298225402832
68,5.6304931640625
69,5.623197555541992
70,5.623197555541992
71,5.6195068359375
72,5.604572296142578
73,5.603628158569336
74,5.565776824951172
75,5.501832962036133
76,5.407247543334961
77,5.249662399291992
78,5.164518356323242
79,5.076456069946289
80,4.939985275268555
81,4.827804565429688
82,4.654598236083984
83,4.514179229736328
84,4.502763748168945
85,4.420623779296875
86,4.420537948608398
87,4.265270233154297
88,4.2427825927734375
89,4.160985946655273
90,4.11712646484375
91,4.01249885559082
92,3.753805160522461
93,3.753805160522461
94,3.753805160522461
95,3.753805160522461
96,3.760242462158203
97,3.790712356567383
98,3.830537796020508
99,3.9058971405029297
100,3.96855354309082
101,3.96855354309082
102,3.96855354309082
103,3.96855354309082
104,3.937311172485352
105,3.937311172485352
106,3.937311172485352
107,3.937311172485352
108,4.043397903442383
109,4.227075576782227
110,4.509458541870117
111,4.834756851196289
112,5.192756652832031
113,5.560798645019531
114,6.034584045410156
115,6.391811370849609
116,6.6082763671875
117,6.815557479858398
118,6.967735290527344
119,7.1212005615234375
120,7.217245101928711
121,7.292947769165039
122,7.375001907348633
123,7.462978363037109
124,7.5750732421875
125,7.640562057495117
126,7.677726745605469
127,7.719011306762695
128,7.72587776184082
129,7.765445709228516
130,7.833166122436523
131,7.919683456420898
132,7.97032356262207
133,8.00027847290039
134,8.00929069519043
