,Area
0,4.770212173461914
1,4.770212173461914
2,4.770212173461914
3,4.726524353027344
4,4.650650024414063
5,4.619407653808594
6,4.523277282714844
7,4.397192001342773
8,4.397192001342773
9,4.397192001342773
10,4.397192001342773
11,4.409036636352539
12,4.498815536499023
13,4.584560394287109
14,5.580110549926758
15,5.959310531616211
16,5.959310531616211
17,5.959310531616211
18,5.959310531616211
19,5.754690170288086
20,5.468959808349609
21,5.165119171142578
22,4.810895919799805
23,4.454441070556641
24,3.836631774902344
25,2.774820327758789
26,1.941061019897461
27,1.5925025939941406
28,1.4120864868164062
29,1.2939834594726562
30,1.246347427368164
31,1.242656707763672
32,1.1925315856933594
33,1.1163997650146484
34,1.1163997650146484
35,1.1163997650146484
36,1.1163997650146484
37,1.1507320404052734
38,1.1895275115966797
39,1.2660026550292969
40,1.4039325714111328
41,1.604776382446289
42,1.8352317810058596
43,2.03521728515625
44,2.188596725463867
45,2.342662811279297
46,2.570028305053711
47,2.805204391479492
48,3.040895462036133
49,3.171100616455078
50,3.3109188079833984
51,3.457775115966797
52,3.7015342712402335
53,3.9665794372558594
54,4.245357513427734
55,4.508943557739258
56,4.749011993408203
57,5.023584365844727
58,5.307769775390625
59,5.418491363525391
60,5.418491363525391
61,5.418491363525391
62,5.418491363525391
63,5.358066558837891
64,5.235757827758789
65,5.0955963134765625
66,5.035943984985352
67,5.035943984985352
68,5.035943984985352
69,5.035943984985352
70,5.057916641235352
71,5.109500885009766
72,5.190095901489258
73,5.258073806762695
74,5.311117172241211
75,5.396862030029297
76,5.507497787475586
77,5.57530403137207
