,Area
0,3.025789260864258
1,3.025789260864258
2,3.025789260864258
3,2.9962635040283203
4,2.8414249420166016
5,2.6636695861816406
6,2.479820251464844
7,2.419910430908203
8,2.4066925048828125
9,2.393989562988281
10,2.393989562988281
11,2.393989562988281
12,2.393989562988281
13,2.635517120361328
14,2.718172073364258
15,4.067773818969727
16,5.401411056518555
17,5.416774749755859
18,5.570411682128906
19,5.570411682128906
20,5.570411682128906
21,5.570411682128906
22,5.292062759399414
23,5.004787445068359
24,4.831066131591797
25,4.611597061157227
26,4.462594985961914
27,4.234113693237305
28,4.120731353759766
29,4.120731353759766
30,4.120731353759766
31,4.07867431640625
32,4.036102294921875
33,4.036102294921875
34,3.6402511596679688
35,3.560171127319336
36,3.436145782470703
37,3.398122787475586
38,3.336925506591797
39,3.1145381927490234
40,2.9421043395996094
41,2.534408569335937
42,2.288846969604492
43,2.045602798461914
44,1.8342876434326167
45,1.5984249114990234
46,1.427450180053711
47,1.349945068359375
48,1.3155269622802734
49,1.2319278717041016
50,1.2319278717041016
51,1.2319278717041016
52,1.2319278717041016
53,1.2372493743896484
54,1.324625015258789
55,1.365652084350586
56,1.462726593017578
57,1.5626335144042969
58,1.6674327850341797
59,1.756181716918945
60,1.8400382995605469
61,1.938486099243164
62,2.0163345336914062
63,2.0798492431640625
64,2.102508544921875
65,2.102508544921875
66,2.102508544921875
67,2.102508544921875
68,2.10062026977539
69,2.10062026977539
70,2.10062026977539
71,2.10062026977539
72,2.540245056152344
73,2.544536590576172
74,2.5861644744873047
75,2.6250457763671875
76,2.6250457763671875
77,2.6250457763671875
78,2.7164554595947266
79,2.8567886352539062
80,3.0745410919189453
81,3.352975845336914
82,3.6838531494140634
83,4.054985046386719
84,4.424314498901367
85,4.811067581176758
86,5.196619033813477
87,5.556678771972656
88,5.911588668823242
89,6.221866607666016
90,6.49815559387207
91,6.722860336303711
92,6.897611618041992
93,7.045669555664063
94,7.166433334350586
95,7.288227081298828
96,7.355518341064453
97,7.417659759521484
98,7.479972839355469
99,7.53962516784668
100,7.572412490844727
101,7.60004997253418
102,7.654552459716797
103,7.655153274536133
104,7.67120361328125
105,7.67369270324707
106,7.679271697998047
107,7.69566535949707
108,7.748537063598633
109,7.801837921142578
110,7.917795181274414
111,8.01203727722168
112,8.105506896972656
113,8.257684707641602
114,8.371152877807617
115,8.54736328125
116,8.67919921875
117,8.844594955444336
118,8.960895538330078
119,9.16311264038086
120,9.295120239257812
121,9.460687637329102
122,9.60951805114746
123,9.82478141784668
124,9.950008392333984
125,10.154714584350586
126,10.283203125
127,10.39581298828125
128,10.521469116210938
129,10.616827011108398
130,10.641803741455078
131,10.721197128295898
