,Area
0,5.116539001464844
1,5.116539001464844
2,5.110874176025391
3,5.110874176025391
4,5.110187530517578
5,5.096454620361328
6,5.084781646728516
7,4.768495559692383
8,4.490747451782227
9,4.229393005371094
10,4.229393005371094
11,4.217805862426758
12,4.217805862426758
13,4.217805862426758
14,4.389381408691406
15,4.587821960449219
16,4.587821960449219
17,4.587821960449219
18,4.587821960449219
19,4.40826416015625
20,4.244413375854492
21,4.113779067993164
22,3.984346389770508
23,3.773117065429688
24,3.607463836669922
25,3.4398365020751958
26,3.300018310546875
27,3.137197494506836
28,2.9604721069335938
29,2.85867691040039
30,2.740659713745117
31,2.590627670288086
32,2.487201690673828
33,2.47243881225586
34,2.47243881225586
35,2.47243881225586
36,2.47243881225586
37,2.5724315643310547
38,2.7025508880615234
39,2.787952423095703
40,2.8520679473876958
41,2.9197025299072266
42,2.9487133026123047
43,2.9555797576904297
44,2.960214614868164
45,2.9625320434570312
46,3.087244033813477
47,3.478546142578125
48,3.478546142578125
49,3.478546142578125
50,3.478546142578125
51,3.289117813110352
52,3.1357383728027344
53,3.044157028198242
54,2.955408096313477
55,2.8673458099365234
56,2.8673458099365234
57,2.8673458099365234
58,2.8673458099365234
59,2.876272201538086
60,2.9285430908203125
61,3.1000328063964844
62,3.330402374267578
63,3.5592269897460938
64,3.7813568115234375
65,3.993101119995117
66,4.197721481323242
67,4.492807388305664
68,4.851236343383789
69,5.19953727722168
70,5.558481216430664
71,5.872020721435547
72,6.120500564575195
73,6.300573348999023
74,6.300573348999023
75,6.300573348999023
76,6.300573348999023
77,6.288986206054688
78,6.154232025146484
79,5.936822891235352
80,5.752458572387695
81,5.54835319519043
82,5.315151214599609
83,5.123147964477539
84,4.965648651123047
85,4.641637802124023
86,4.32586669921875
87,4.012670516967773
88,3.6514949798583984
89,3.341045379638672
90,3.1464672088623047
91,2.974119186401367
92,2.791299819946289
93,2.6713943481445312
94,2.5887393951416016
95,2.514495849609375
96,2.4573326110839844
97,2.395448684692383
98,2.3464393615722656
99,2.333221435546875
100,2.305240631103516
101,2.2876453399658203
102,2.257862091064453
103,2.196493148803711
104,2.150487899780273
105,2.150487899780273
106,2.150487899780273
107,2.150487899780273
108,2.1824169158935547
109,2.222929000854492
110,2.2666168212890625
111,2.2675609588623047
112,2.290477752685547
113,2.3142528533935547
114,2.359485626220703
115,2.3829174041748047
116,2.386093139648437
117,2.436046600341797
118,2.498188018798828
119,2.506685256958008
120,2.525482177734375
121,2.5546646118164062
122,2.562475204467773
123,2.571401596069336
124,2.614831924438477
125,2.614831924438477
126,2.614831924438477
127,2.614831924438477
128,2.4451446533203125
129,2.3242950439453125
130,2.2040462493896484
131,2.111692428588867
132,2.024402618408203
133,2.024402618408203
134,2.024402618408203
135,2.024402618408203
136,2.092723846435547
137,2.2354602813720703
138,2.4317550659179688
139,2.6845264434814453
140,2.9764366149902344
141,3.331432342529297
142,3.701362609863281
143,4.079103469848633
144,4.459505081176758
145,4.813127517700195
146,5.177478790283203
147,5.441751480102539
148,5.708770751953125
149,5.874338150024414
150,5.874338150024414
151,5.874338150024414
152,5.874338150024414
153,5.853738784790039
154,5.737180709838867
155,5.630922317504883
156,5.5501556396484375
157,5.521230697631836
158,5.521230697631836
159,5.521230697631836
160,5.521230697631836
161,5.582771301269531
162,5.644741058349609
163,5.706195831298828
164,5.864467620849609
165,5.987119674682617
166,6.111230850219727
167,6.22126579284668
168,6.33112907409668
169,6.431980133056641
170,6.5114593505859375
171,6.532831192016602
172,6.551456451416016
173,6.585359573364258
174,6.596517562866211
175,6.609477996826172
176,6.6302490234375
177,6.719770431518555
178,6.77281379699707
179,6.829204559326172
180,6.885251998901367
181,6.971769332885742
182,7.011852264404297
183,7.072963714599609
184,7.106523513793945
185,7.108325958251953
186,7.16557502746582
187,7.194671630859375
188,7.268657684326172
189,7.3601531982421875
190,7.392253875732422
191,7.392683029174805
