,Area
0,4.949169158935547
1,4.949169158935547
2,4.949169158935547
3,4.949169158935547
4,4.825658798217773
5,4.781970977783203
6,4.66618537902832
7,4.66618537902832
8,4.66618537902832
9,4.66618537902832
10,4.737253189086914
11,5.061607360839844
12,5.261421203613281
13,5.261421203613281
14,5.261421203613281
15,5.261421203613281
16,5.243825912475586
17,5.137567520141602
18,5.070533752441406
19,4.955692291259766
20,4.75956916809082
21,4.552717208862305
22,4.380712509155273
23,4.301061630249023
24,4.19952392578125
25,4.053268432617188
26,3.947439193725586
27,3.947439193725586
28,3.947439193725586
29,3.947439193725586
30,4.089488983154297
31,4.3581390380859375
32,4.425516128540039
33,4.425516128540039
34,4.425516128540039
35,4.425516128540039
36,4.320030212402344
37,4.2469024658203125
38,4.178667068481445
39,4.125452041625977
40,4.078760147094727
41,3.9990234375
42,3.90864372253418
43,3.797664642333984
44,3.651065826416016
45,3.5037803649902344
46,3.3946895599365234
47,3.2783031463623047
48,3.174448013305664
49,3.0196094512939453
50,2.872495651245117
51,2.7388572692871094
52,2.620410919189453
53,2.5004196166992188
54,2.472352981567383
55,2.472352981567383
56,2.472352981567383
57,2.472352981567383
58,2.591485977172852
59,2.713451385498047
60,2.8086376190185547
61,2.8822803497314453
62,2.928028106689453
63,2.9508590698242188
64,2.9636478424072266
65,2.966909408569336
66,2.9671669006347656
67,2.967252731323242
68,3.009052276611328
69,3.0794334411621094
70,3.1698131561279297
71,3.3939170837402344
72,3.3939170837402344
73,3.3939170837402344
74,3.3939170837402344
75,3.250751495361328
76,3.1304168701171875
77,3.03995132446289
78,2.9791831970214844
79,2.9385852813720703
80,2.938070297241211
81,2.938070297241211
82,2.938070297241211
83,2.938070297241211
84,3.0135154724121094
85,3.036174774169922
86,3.5364818572998047
87,3.9565372467041016
88,4.271364212036133
89,4.286127090454102
90,4.409208297729492
91,4.44697380065918
92,4.44697380065918
93,4.636402130126953
94,4.925222396850586
95,5.202627182006836
96,5.437202453613281
97,5.687656402587891
98,5.8172607421875
99,5.981283187866211
100,6.114320755004883
101,6.164703369140625
102,6.164703369140625
103,6.164703369140625
104,6.164703369140625
105,6.159296035766602
106,5.990209579467773
107,5.774173736572266
108,5.560369491577148
109,5.277471542358398
110,5.033540725708008
111,4.799394607543945
112,4.494009017944336
113,4.118328094482422
114,3.736553192138672
115,3.3350372314453125
116,3.076000213623047
117,2.8592777252197266
118,2.7252960205078125
119,2.5925159454345703
120,2.5120067596435547
121,2.433900833129883
122,2.372274398803711
123,2.328071594238281
124,2.3011207580566406
125,2.285242080688477
126,2.2646427154541016
127,2.2099685668945312
128,2.2099685668945312
129,2.2099685668945312
130,2.2099685668945312
131,2.279233932495117
132,2.3140811920166016
133,2.332019805908203
134,2.3727035522460938
135,2.4187088012695312
136,2.444887161254883
137,2.455530166625977
138,2.477502822875977
139,2.491579055786133
140,2.492008209228516
141,2.50213623046875
142,2.50213623046875
143,2.491579055786133
144,2.491579055786133
145,2.4161338806152344
146,2.39802360534668
147,2.373991012573242
148,2.23073959350586
149,2.131948471069336
150,2.053670883178711
151,1.979084014892578
152,1.95831298828125
153,1.95831298828125
154,1.95831298828125
155,1.95831298828125
156,2.0337581634521484
157,2.1529769897460938
158,2.2964859008789062
159,2.483339309692383
160,2.6944828033447266
161,2.9293155670166016
162,3.215303421020508
163,3.5249805450439453
164,3.834829330444336
165,4.170083999633789
166,4.498300552368164
167,4.847288131713867
168,5.183658599853516
169,5.46870231628418
170,5.706624984741211
171,5.844812393188477
172,5.844812393188477
173,5.844812393188477
174,5.844812393188477
175,5.810651779174805
176,5.681819915771484
177,5.577278137207031
178,5.456686019897461
179,5.449132919311523
180,5.442180633544922
181,5.442180633544922
182,5.449132919311523
183,5.456686019897461
184,5.641565322875977
185,5.709199905395508
186,5.814599990844727
187,5.942401885986328
188,6.046857833862305
189,6.137323379516602
190,6.254482269287109
191,6.393957138061523
192,6.525449752807617
193,6.632909774780273
194,6.691789627075195
195,6.712646484375
196,6.712646484375
197,6.714534759521484
198,6.716766357421875
199,6.716766357421875
200,6.7236328125
201,6.749296188354492
202,6.792898178100586
203,6.835470199584961
204,6.886796951293945
205,6.937007904052734
206,6.947994232177734
207,6.992712020874023
208,7.035198211669922
209,7.052536010742188
210,7.092618942260742
211,7.095880508422852
212,7.110557556152344
213,7.202911376953125
214,7.238445281982422
215,7.238702774047852
