,Area
0,5.981197357177734
1,5.981197357177734
2,5.981197357177734
3,5.881805419921875
4,5.810995101928711
5,5.580282211303711
6,5.397806167602539
7,5.337381362915039
8,5.239963531494141
9,5.164775848388672
10,5.113534927368164
11,5.0228118896484375
12,4.968996047973633
13,4.968996047973633
14,4.968996047973633
15,4.968996047973633
16,5.028390884399414
17,5.10890007019043
18,5.329313278198242
19,5.53736686706543
20,5.688085556030273
21,5.7588958740234375
22,5.7588958740234375
23,5.7588958740234375
24,5.7588958740234375
25,5.714263916015625
26,5.522603988647461
27,5.204429626464844
28,4.983758926391602
29,4.983758926391602
30,4.983758926391602
31,4.983758926391602
32,4.983758926391602
33,4.983758926391602
34,4.983758926391602
35,4.932861328125
36,4.598808288574219
37,4.3251800537109375
38,4.14433479309082
39,3.9530181884765625
40,3.882722854614258
41,3.856287002563477
42,3.855171203613281
43,3.85345458984375
44,3.822641372680664
45,3.821439743041992
46,3.754148483276367
47,3.5422325134277344
48,3.304910659790039
49,3.0660438537597656
50,2.9167842864990234
51,2.861337661743164
52,2.842283248901367
53,2.8397083282470703
54,2.8047752380371094
55,2.8047752380371094
56,2.8047752380371094
57,2.8047752380371094
58,2.806577682495117
59,2.814044952392578
60,2.8470897674560547
61,2.8659725189208984
62,2.8681182861328125
63,2.871551513671875
64,2.891721725463867
65,2.8981590270996094
66,2.925453186035156
67,2.9569530487060547
68,2.96356201171875
69,2.969913482666016
70,2.992744445800781
71,3.0190086364746094
72,3.0819225311279297
73,3.1623458862304688
74,3.285856246948242
75,3.414945602416992
76,3.572959899902344
77,3.7397289276123047
78,3.9287281036376953
79,4.093265533447266
80,4.245443344116211
81,4.384574890136719
82,4.486627578735352
83,4.564647674560547
84,4.603872299194336
85,4.631166458129883
86,4.6657562255859375
87,4.726524353027344
88,4.780168533325195
89,4.865484237670898
90,4.993629455566406
91,5.1361083984375
92,5.310344696044922
93,5.470161437988281
94,5.5995941162109375
95,5.823183059692383
96,5.92463493347168
97,5.9854888916015625
98,5.9854888916015625
99,5.9854888916015625
100,5.9854888916015625
101,5.92137336730957
102,5.752887725830078
103,5.5645751953125
104,5.380983352661133
105,5.178251266479492
106,5.012683868408203
107,4.812870025634766
108,4.618377685546875
109,4.519586563110352
110,4.483537673950195
111,4.471521377563477
112,4.45744514465332
113,4.45744514465332
114,4.45744514465332
115,4.45744514465332
116,4.565420150756836
117,4.7371673583984375
118,4.857330322265625
119,4.931488037109375
120,4.979982376098633
121,5.068645477294922
122,5.175933837890625
123,5.312747955322266
124,5.422611236572266
125,5.54234504699707
126,5.660104751586914
127,5.704307556152344
128,5.704307556152344
129,5.913734436035156
130,5.964546203613281
