,Area
0,8.044052124023438
1,8.044052124023438
2,8.044052124023438
3,8.001394271850586
4,7.876424789428711
5,7.828359603881836
6,7.812566757202148
7,7.804155349731445
8,7.392683029174805
9,6.441850662231445
10,5.300559997558594
11,4.831066131591797
12,4.365520477294922
13,4.365520477294922
14,4.365520477294922
15,4.365520477294922
16,4.543190002441406
17,4.706611633300781
18,4.783515930175781
19,4.789953231811523
20,4.809780120849609
21,4.809780120849609
22,4.792356491088867
23,4.792356491088867
24,4.792356491088867
25,4.792356491088867
26,4.792356491088867
27,4.792356491088867
28,4.879817962646484
29,4.938440322875977
30,5.017061233520508
31,5.073108673095703
32,5.253696441650391
33,5.330085754394531
34,5.355234146118164
35,5.364933013916016
